"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"1","A Gupta; Bjorn Kvande ; Irwin B Levinstein ; Kurt Maly ; Margrethe H Olson ; Ravi Mukkamala ; Rita Chambers ; Roy Whitney ; S Nanjangud","PMES: privilege mangagement and enforcement system for secure distributed resource sharing ","IFIP International Federation for Information Processing World Conference IT Tools","10","1","1","AGupta"
"2","A Gupta; C S Vemuru ; H Syed ; Hussein M Abdel-Wahab ; Kurt Maly ; Mohamed Kholief ; Ravi Mukkamala ; S Dittakavi","CoProcess: A Java-based Environment for Collaborative Process Management Over the Web ","WebNet","10","2","2","AGupta"
"3","A Gupta; Bjorn Kvande ; Irwin B Levinstein ; Kurt Maly ; Margrethe H Olson ; Ravi Mukkamala ; Rita Chambers ; Roy Whitney ; S Nanjangud","A privilege management and enforcement system for distributed resource sharing ","WETICE Workshop Enabling Technologies Infrastructure for Collaborative Enterprises","10","3","3","AGupta"
"4","A Gupta; Alaa Youssef ; C Michael Overstreet ; Emilia Stoica ; Hussein M Abdel-Wahab ; J Christian Wild ; Kurt Mary","The software architecture and interprocess communications of IRI: an Internet-based interactive distance learning system ","WETICE Workshop Enabling Technologies Infrastructure for Collaborative Enterprises","10","4","4","AGupta"
"5","A Gupta; A Prabhu ; C S Vemuru ; H Syed ; Hussein M Abdel-Wahab ; Kurt Maly ; Ravi Mukkamala","Mosaic + XTV = CoReview ","Computer Networks and ISDN Systems","10","5","5","AGupta"
"6","A Gupta; A Gonzalez ; Ayman Adel Abdel Hamid ; C Michael Overstreet ; Hussein M Abdel-Wahab ; J Christian Wild ; Kurt Maly ; Sahar Ghanem ; Xiaoqing Zhu","IRI-h, a Java-based distance education system ","ACM Journal of Educational Resources Computing","10","6","6","AGupta"
"7","A Gupta; Kurt Maly ; Satish Mynam","BTU: A Host Communication Benchmark ","IEEE Computer","10","7","7","AGupta"
"8","A Gupta; Alaa Youssef ; C Michael Overstreet ; Ehab S Al-Shaer ; Emilia Stoica ; Hussein M Abdel-Wahab ; J Christian Wild ; Kurt Maly","Interactive Distance Learning over Intranets ","IEEE Internet Computing","10","8","8","AGupta"
"9","A Gupta; C Michael Overstreet ; Hussein M Abdel-Wahab ; Kurt Maly ; Muthu Kumar ; Rahul Srivastava","Performance trade-offs for a multimedia distributed application ","HPN High Performance Networking","10","9","9","AGupta"
"10","A Gupta; Mark Moran ; Riccardo Bettati ; Rolf Oppliger","A Security Architecture for Tenet Scheme ","IDMS Interactive Distributed Multimedia Systems and Telecommunication Services","11","1","10","AGupta"
